L,runtime
0,10570046.07999996
5000,10575046.07999996
10000,10580046.07999996
15000,10585046.07999996
20000,10590046.07999996
25000,10595046.07999996
30000,10600046.07999996
35000,10605046.07999996
40000,10610046.07999996
45000,10615046.07999996
50000,10620046.07999996
55000,10625046.07999996
60000,10630046.07999996
65000,10635046.07999996
70000,10640046.07999996
75000,10645046.07999996
80000,10650046.07999996
85000,10655046.07999996
90000,10660046.07999996
95000,10665046.07999996
100000,10670046.07999996
105000,10675046.07999996
110000,10680046.07999996
115000,10685046.07999996
120000,10690046.07999996
125000,10695046.07999996
130000,10700046.07999996
135000,10705046.07999996
140000,10710046.07999996
145000,10715046.07999996
150000,10720046.07999996
155000,10725046.07999996
160000,10730046.07999996
165000,10735046.07999996
170000,10740046.07999996
175000,10745046.07999996
180000,10750046.07999996
185000,10755046.07999996
190000,10760046.07999996
195000,10765046.07999996
200000,10770046.07999996
205000,10776277.07423996
210000,10786277.07423996
215000,10796277.07423996
220000,10831698.98784
225000,10952338.901439998
230000,11112338.901439998
235000,11272338.901439998
240000,11432338.901439998
245000,11592338.901439998
250000,11752338.901439996
255000,11912338.901439996
260000,12072338.901439996
265000,12232338.901439996
270000,12392338.901439995
275000,12552338.901439995
280000,12712338.901439995
285000,12872338.901439995
290000,13032338.901439995
295000,13192338.901439995
300000,13352338.901439995
305000,13512338.901439993
310000,13672338.901439993
315000,13832338.901439995
320000,13992338.901439995
325000,14152338.901439993
330000,14312338.901439993
335000,14472338.901439993
340000,14632338.901439993
345000,14792338.901439993
350000,14952338.901439993
355000,15112338.90143999
360000,15272338.90143999
365000,15432338.90143999
370000,15592338.90143999
375000,15752338.90143999
380000,15912338.90143999
385000,16072338.90143999
390000,16232338.90143999
395000,16392338.90143999
400000,16552338.90143999
405000,16712338.90143999
410000,16872338.90143999
415000,17032338.90143999
420000,17192338.90143999
425000,17352338.901439983
430000,17512338.901439983
435000,17672338.901439983
440000,17832338.901439983
445000,17992338.901439976
450000,18152338.901439976
455000,18312338.901439976
460000,18472338.901439972
465000,18632338.901439972
470000,18792338.901439972
475000,18952338.901439972
480000,19112338.90143997
485000,19272338.90143999
490000,19432338.90143999
495000,19592338.90143999
500000,19752338.90143999
505000,19912338.901439983
510000,20072338.901439983
515000,20232338.901439983
520000,20392338.901439983
525000,20552338.901439983
530000,20712338.901439976
535000,20872338.901439976
540000,21032338.901439976
545000,21192338.901439976
550000,21352338.901439976
555000,21512338.90143997
560000,21672338.90143997
565000,21832338.90143997
570000,21992338.90143997
575000,22152338.90143997
580000,22312338.901439965
585000,22472338.90143996
590000,22632338.90143996
595000,22792338.90143996
600000,22952338.90143996
605000,23112338.90143996
610000,23272338.90143996
615000,23432338.901439954
620000,23592338.901439954
625000,23752338.901439954
630000,23912338.901439954
635000,24072338.901439954
640000,24232338.901439954
645000,24392338.90143995
650000,24552338.901439946
655000,24712338.90143995
660000,24872338.90143995
665000,25032338.90143995
670000,25192338.90143995
675000,25352338.90143995
680000,25512338.90143995
685000,25672338.901439942
690000,25832338.901439942
695000,25992338.901439942
700000,26152338.901439942
705000,26312338.901439942
710000,26472338.901439942
715000,26632338.901439942
720000,26792338.901439942
725000,26952338.901439935
730000,27112338.901439935
735000,27272338.901439935
740000,27432338.901439935
745000,27592338.901439935
750000,27752338.901439935
755000,27912338.901439935
760000,28072338.901439935
765000,28232338.90143993
770000,28392338.901439928
775000,28552338.901439928
780000,28712338.901439928
785000,28872338.901439928
790000,29032338.901439928
795000,29192338.901439928
800000,29352338.901439928
805000,29512338.901439928
810000,29672338.901439928
815000,29832338.901439924
820000,29992338.90143992
825000,30152338.90143992
830000,30312338.90143992
835000,30472338.90143992
840000,30632338.90143992
845000,30792338.90143992
850000,30952338.90143992
855000,31112338.90143992
860000,31272338.90143992
865000,31432338.90143992
870000,31592338.901439916
875000,31752338.901439913
880000,31912338.901439913
885000,32072338.901439913
890000,32232338.901439913
895000,32392338.901439913
900000,32552338.901439913
905000,32712338.901439913
910000,32872338.901439913
915000,33032338.901439913
920000,33192338.901439913
925000,33352338.901439913
930000,33512338.901439913
935000,33672338.901439905
940000,33832338.901439905
945000,33992338.901439905
950000,34152338.901439905
955000,34312338.901439905
960000,34472338.901439905
965000,34632338.901439905
970000,34792338.901439905
975000,34952338.901439905
980000,35112338.901439905
985000,35272338.901439905
990000,35432338.901439905
995000,35592338.901439905
1000000,35752338.901439905
